iter	Logloss
0	0.6625013023
1	0.6348140155
2	0.6164952391
3	0.59837579
4	0.5849102779
5	0.5746185208
6	0.5642127861
7	0.5534780128
8	0.5454066984
9	0.5338107822
10	0.5258478006
11	0.5188627679
12	0.5132794111
13	0.5085639881
14	0.5036459751
15	0.499414101
16	0.4968110931
17	0.4931840931
18	0.4895338902
19	0.4860545205
20	0.4839180622
21	0.4809354533
22	0.4787526014
23	0.4765436214
24	0.4748284909
25	0.4728140909
26	0.4703654705
27	0.4679694798
28	0.4663083612
29	0.4643284
30	0.4627863109
31	0.4611985076
32	0.4593518555
33	0.4569388615
34	0.4550820847
35	0.4535679539
36	0.4525867175
37	0.450075938
38	0.4485759283
39	0.4479480898
40	0.4468276092
41	0.4455756867
42	0.4445402314
43	0.4438650613
44	0.4427307761
45	0.4419319184
46	0.4414887636
47	0.4405025706
48	0.4391061509
49	0.4379862192
50	0.4373535963
51	0.436798509
52	0.4357064158
53	0.4349535214
54	0.4344633925
55	0.4336638998
56	0.4332383368
57	0.4326733338
58	0.4318336394
59	0.4313727477
60	0.4308165157
61	0.4301563583
62	0.4294562351
63	0.4285310925
64	0.4281120641
65	0.4271286958
66	0.4265321055
67	0.4259392612
68	0.4252816237
69	0.4244055732
70	0.4237484924
71	0.4231763858
72	0.4226892632
73	0.4223968536
74	0.4217632927
75	0.4213004181
76	0.4209401211
77	0.420386158
78	0.4200255462
79	0.4197556286
80	0.4194681887
81	0.419041657
82	0.4182478806
83	0.4180410335
84	0.4177533397
85	0.4174412073
86	0.4171429001
87	0.4166315537
88	0.4162805865
89	0.4157068009
90	0.4151462526
91	0.4147350658
92	0.4142071805
93	0.4135085078
94	0.4128873119
95	0.4125358707
96	0.4122933142
97	0.4117622651
98	0.4114124556
99	0.4108757867
100	0.4106500631
101	0.4103779597
102	0.4100735983
103	0.4098377232
104	0.4096136885
105	0.4092152785
106	0.4089499488
107	0.4086750523
108	0.408226749
109	0.4076394578
110	0.4070532048
111	0.4066461665
112	0.4063133822
113	0.4059408057
114	0.4056947618
115	0.4052570339
116	0.4047746723
117	0.4046287515
118	0.4044077035
119	0.4039520976
120	0.4037117658
121	0.4032923248
122	0.4028181947
123	0.4024803211
124	0.402333325
125	0.4019380091
126	0.4014975119
127	0.4013271148
128	0.4011945367
129	0.4008977435
130	0.4005166761
131	0.4002671108
132	0.4000998012
133	0.3998626005
134	0.3995490878
135	0.3992915505
136	0.3989452895
137	0.3987876137
138	0.3985448328
139	0.3983497597
140	0.3981311906
141	0.3980176459
142	0.3978219729
143	0.3975351511
144	0.3972688206
145	0.3970878373
146	0.3967775053
147	0.3965800034
148	0.3963590168
149	0.3962014607
150	0.3959968516
151	0.3957615707
152	0.3953070757
153	0.3949586868
154	0.3948046561
155	0.3946159501
156	0.3943585683
157	0.3940774288
158	0.3939020088
159	0.3936274914
160	0.3933526988
161	0.3931256497
162	0.3928770528
163	0.3926765396
164	0.3925368337
165	0.3924040605
166	0.39223703
167	0.3921576687
168	0.3917675073
169	0.3915651122
170	0.3912869873
171	0.3911421309
172	0.390994842
173	0.3907544362
174	0.3905574828
175	0.3902660516
176	0.3899019759
177	0.38966229
178	0.3894054346
179	0.3892650964
180	0.3890571039
181	0.3888789995
182	0.388531348
183	0.3883684951
184	0.3881407822
185	0.3878496584
186	0.3877091899
187	0.3869676608
188	0.3867782902
189	0.3860175123
190	0.3857097434
191	0.3855878142
192	0.3852023863
193	0.3850337923
194	0.3847591933
195	0.3846028764
196	0.3843790391
197	0.3841938846
198	0.3840155266
199	0.3837786522
200	0.3835787561
201	0.3833926393
202	0.3832052748
203	0.3828872131
204	0.3828107416
205	0.3825369555
206	0.3824228488
207	0.3822366446
208	0.3820624445
209	0.3818942149
210	0.3816022427
211	0.3813165097
212	0.3811026136
213	0.3808816632
214	0.3805916174
215	0.3804564858
216	0.3802373736
217	0.380003986
218	0.3798671307
219	0.3797441668
220	0.3796494385
221	0.3794796765
222	0.3793566227
223	0.3792486962
224	0.379012487
225	0.3787835536
226	0.37858391
227	0.378448661
228	0.378250414
229	0.3781051325
230	0.3779730852
231	0.3778343458
232	0.3777585139
233	0.3776373174
234	0.3774998981
235	0.3772828791
236	0.3770982796
237	0.3769903216
238	0.3769263694
239	0.3767820911
240	0.3766335192
241	0.3763861872
242	0.3762515762
243	0.3761349774
244	0.3759952745
245	0.3758117837
246	0.3757186205
247	0.3755613845
248	0.3753657407
249	0.3752342186
250	0.3751469947
251	0.3750625394
252	0.3748965177
253	0.3747440138
254	0.3745077385
255	0.3743423513
256	0.3741334419
257	0.3739972321
258	0.3738644687
259	0.3737321054
260	0.373535692
261	0.3734559728
262	0.3733853581
263	0.3732594959
264	0.3730890631
265	0.3728515822
266	0.37254249
267	0.3723769429
268	0.3723261474
269	0.3721672286
270	0.3715804124
271	0.3713792803
272	0.3711920705
273	0.3710410926
274	0.3708361083
275	0.3707107668
276	0.3706256133
277	0.3705590914
278	0.3702319785
279	0.3701118965
280	0.3699695468
281	0.3697763561
282	0.3696842165
283	0.3694556058
284	0.3693155008
285	0.3691547248
286	0.3690475209
287	0.3689466168
288	0.3688257684
289	0.3686695358
290	0.3684965396
291	0.3683752108
292	0.3682822876
293	0.3682014827
294	0.3680787498
295	0.3678616083
296	0.3677162061
297	0.367638691
298	0.3675090911
299	0.3674240316
