iter	Passed	Remaining
475	720	793
476	721	791
477	723	790
478	725	788
479	726	787
480	728	785
481	730	784
482	731	783
483	733	781
484	735	780
485	737	779
486	738	778
487	740	776
488	741	775
489	743	773
490	744	772
491	746	771
492	748	769
493	749	768
494	751	766
495	753	765
496	754	763
497	756	762
498	757	760
499	759	759
500	760	757
501	762	756
502	763	754
503	765	753
504	767	752
505	768	750
506	770	749
507	772	747
508	773	746
509	775	744
510	776	743
511	778	742
512	780	740
513	781	739
514	783	737
515	784	735
516	786	734
517	788	733
518	789	731
519	791	730
520	792	728
521	794	727
522	795	725
523	797	724
524	798	722
525	800	721
526	801	719
527	803	717
528	804	716
529	805	714
530	807	713
531	808	711
532	810	709
533	811	708
534	813	706
535	814	705
536	815	703
537	817	702
538	819	700
539	820	698
540	822	697
541	823	696
542	825	694
543	827	693
544	828	691
545	830	690
546	831	688
547	833	687
548	834	685
549	836	684
550	837	682
551	838	680
552	840	679
553	842	677
554	843	676
555	844	674
556	846	673
557	847	671
558	849	670
559	850	668
560	852	666
561	853	665
562	855	664
563	856	662
564	858	660
565	859	659
566	861	657
567	862	656
568	864	654
569	865	653
570	867	651
571	868	649
572	869	648
573	871	646
574	872	645
575	874	643
576	876	642
577	877	640
578	878	639
579	880	637
580	881	635
581	883	634
582	884	632
583	886	631
584	888	630
585	889	628
586	891	627
587	893	625
588	894	624
589	895	622
590	897	620
591	898	619
592	900	617
593	901	616
594	903	614
595	905	613
596	906	611
597	907	610
598	909	608
599	910	607
600	912	605
601	913	604
602	915	602
603	917	601
604	918	599
605	920	598
606	921	596
607	923	595
608	924	593
609	926	592
610	927	590
611	929	589
612	930	587
613	932	585
614	933	584
615	935	583
616	937	581
617	938	580
618	940	578
619	941	577
620	943	575
621	944	574
622	946	572
623	947	571
624	949	569
625	950	568
626	952	566
627	953	564
628	955	563
629	956	561
630	957	560
631	959	558
632	960	557
633	962	555
634	963	554
635	965	552
636	966	550
637	968	549
638	969	547
639	971	546
640	972	544
641	974	543
642	975	541
643	977	540
644	978	538
645	980	537
646	981	535
647	983	534
648	984	532
649	986	531
650	987	529
651	989	527
652	990	526
653	992	524
654	993	523
655	994	521
656	996	520
657	997	518
658	999	517
659	1000	515
660	1002	514
661	1003	512
662	1005	511
663	1006	509
664	1008	507
665	1009	506
666	1011	504
667	1012	503
668	1014	501
669	1015	500
670	1017	498
671	1019	497
672	1021	496
673	1022	494
674	1023	492
675	1025	491
676	1026	489
677	1028	488
678	1029	486
679	1031	485
680	1032	483
681	1034	482
682	1036	480
683	1037	479
684	1039	477
685	1040	476
